participant_id,TRIAL_INDEX,image_id,voice_id,aoi_type,CURRENT_FIX_X,CURRENT_FIX_Y,distance_from_center,CURRENT_FIX_START,CURRENT_FIX_DURATION,CURRENT_FIX_INTEREST_AREA_LABEL
edf13,21,IMG_09,ACT,subject,1043.5,397.3,144.18117075402043,7920,144,s_boy_boy_filled_bucket
edf13,22,IMG_16,PWA,object,947.2,725.0,226.38491557522116,5878,484,o_dog_girl_fed_dog
edf13,23,IMG_14,PWA,subject,797.1,439.5,155.60157454216198,6164,104,s_driver_driver_wash_scooter
edf13,24,IMG_07,PWA,object,1054.5,476.3,115.68928213106,5860,184,o_picture_artiste_drew_picture
edf13,25,IMG_03,PNA,object,678.9,539.0,265.1801274605622,6044,172,o_tree_girl_plant_tree
edf13,26,IMG_12,PNA,subject,1046.4,431.9,124.78541581450943,5890,146,s_child_child_throw_frisbee
edf13,27,IMG_08,PNA,subject,800.4,441.9,151.63970456315195,6334,112,s_boy_boy_broke_vase
edf13,28,IMG_05,ACT,object,1101.1,444.4,169.05768246370815,6578,194,o_box_man_pushed_box
edf13,29,IMG_04,ACT,object,787.5,513.0,154.16465223909145,5588,230,o_shrub_man_cut_shrub
edf13,30,IMG_02,ACT,object,1077.6,548.4,145.3604141436037,5512,874,o_window_girl_opened_window
edf13,31,IMG_13,PWA,object,967.4,747.6,250.29616457309132,5800,196,o_hole_dog_dug_hole
edf13,32,IMG_18,PWA,object,921.1,794.6,296.5684069485487,5484,164,o_veg_boy_cut_vegetables
edf13,34,IMG_06,PNA,object,1033.8,561.8,112.22054179159886,5806,4992,o_clothes_woman_folded_clothes
edf13,35,IMG_17,PNA,subject,964.7,368.6,132.24106775128516,6460,204,s_woman_woman_read_letter
edf13,36,IMG_01,PNA,subject,1022.3,378.9,144.7816632035977,5418,158,s_girl_girl_lit_lamp
edf14,19,IMG_11,PWA,subject,983.6,346.2,158.3382771158004,6186,214,s_child_child_play_tabla
edf14,20,IMG_10,PWA,subject,832.1,711.4,238.95710912211837,6028,30,s_boy_boy_opened_door
edf14,21,IMG_09,PWA,object,920.2,596.7,100.18303249552795,5704,304,o_bucket_boy_filled_bucket
edf14,22,IMG_16,PNA,object,964.4,704.3,206.92733023938618,6286,890,o_dog_girl_fed_dog
edf14,23,IMG_14,PNA,object,1000.9,587.2,106.86561654713834,5654,218,o_scooter_driver_wash_scooter
edf14,24,IMG_07,PNA,object,1048.9,505.7,108.12682368404252,5560,176,o_picture_artiste_drew_picture
edf14,25,IMG_03,ACT,object,798.1,680.8,231.4753118585219,6264,178,o_tree_girl_plant_tree
edf14,26,IMG_12,ACT,object,798.5,344.7,209.81479928737153,5628,210,o_frisbee_child_throw_frisbee
edf14,27,IMG_08,ACT,subject,778.9,437.0,173.44538045159925,5488,142,s_boy_boy_broke_vase
edf14,28,IMG_05,PWA,subject,923.6,370.2,129.67270337276076,5836,224,s_man_man_pushed_box
edf14,29,IMG_04,PWA,object,769.7,466.9,174.22666271268582,5698,544,o_shrub_man_cut_shrub
edf14,30,IMG_02,PWA,object,1092.7,506.8,151.91609526314193,5660,208,o_window_girl_opened_window
edf14,31,IMG_13,PNA,subject,698.9,610.2,266.5420417119971,6368,140,s_dog_dog_dug_hole
edf14,32,IMG_18,PNA,object,895.8,792.8,297.5531045040532,5516,162,o_veg_boy_cut_vegetables
edf14,33,IMG_15,PNA,subject,839.8,502.1,101.25709851659788,5574,224,.
edf14,34,IMG_06,ACT,object,946.8,694.3,195.68597292601223,5896,266,o_clothes_woman_folded_clothes
edf14,35,IMG_17,ACT,object,1036.4,620.9,155.02902953963175,5596,190,o_letter_woman_read_letter
edf14,36,IMG_01,ACT,object,766.7,566.6,187.0585469846272,5482,206,o_lamp_girl_light_lamp
edf15,19,IMG_11,PNA,object,794.3,566.1,161.4424045906156,6256,240,o_tabla_child_play_tabla
edf15,20,IMG_10,PNA,object,1001.8,413.0,105.07678145051833,5748,178,o_door_boy_opened_door
