participant_id,trial_id,language,session_type,sentence_type,trial_length_ms,mean_saccade_amplitude,saccade_count,mean_saccade_velocity,mean_saccade_duration,saccade_rate
edf02,24,Punjabi,sentence_audio,passive_dropped_agent,10333,1.8429411764705879,17,59.95705882352941,28.352941176470587,1.645214361753605
edf02,25,English,sentence_audio,active,10355,1.282,5,149.064,74.8,0.48285852245292127
edf02,26,English,sentence_audio,active,10337,3.5433333333333334,18,110.43444444444444,42.666666666666664,1.7413175969817163
edf02,27,English,sentence_audio,active,11091,1.2028571428571426,7,53.798571428571435,22.285714285714285,0.6311423676855108
edf02,28,English,sentence_audio,passive,10163,1.6577777777777778,9,79.77666666666667,74.0,0.885565285840795
edf02,29,English,sentence_audio,passive,10976,2.3335714285714286,14,126.87357142857142,61.42857142857143,1.2755102040816326
edf02,3,,free_viewing,,5973,1.7992857142857144,14,122.07928571428572,51.857142857142854,2.343880796919471
edf02,30,English,sentence_audio,passive,10732,1.2133333333333334,9,106.12666666666667,60.0,0.8386134923592994
edf02,31,English,sentence_audio,passive_dropped_agent,10678,2.581,10,124.98300000000002,56.8,0.9365049634763064
edf02,32,English,sentence_audio,passive_dropped_agent,10649,1.8325,8,145.2175,48.5,0.7512442482862242
edf02,33,English,sentence_audio,passive_dropped_agent,11006,3.2437499999999995,8,183.8375,81.5,0.7268762493185535
edf02,34,Punjabi,sentence_audio,active,11107,4.247999999999999,10,160.43,76.4,0.9003331232556047
edf02,35,Punjabi,sentence_audio,active,10395,1.51,6,145.91166666666666,53.0,0.5772005772005773
edf02,36,Punjabi,sentence_audio,active,11092,6.02,1,621.21,336.0,0.09015506671474936
edf02,4,,free_viewing,,6088,1.942307692307692,13,99.67,40.61538461538461,2.135348226018397
edf02,5,,free_viewing,,5992,1.89,10,163.69299999999998,69.0,1.6688918558077437
edf02,6,,free_viewing,,6127,1.082142857142857,14,79.62357142857142,39.42857142857143,2.2849681736575813
edf02,7,,free_viewing,,5698,2.8805263157894743,19,96.88157894736844,40.421052631578945,3.334503334503334
edf02,8,,free_viewing,,5699,1.3358333333333332,12,105.85583333333334,39.333333333333336,2.105632567117038
edf02,9,,free_viewing,,5892,2.318947368421053,19,89.18473684210528,38.94736842105263,3.224711473183978
