participant_id,trial_id,TRIAL_INDEX,saccade_transition,sentence,voice_id,mean_amplitude,mean_duration,n_transitions
edf01,edf01_12,12,subject_to_object,UNDEFINED,UNDEFINED,7.0175,47.0,4
edf01,edf01_12,12,subject_to_subject,UNDEFINED,UNDEFINED,2.0066666666666664,26.0,6
edf01,edf01_13,13,object_to_object,UNDEFINED,UNDEFINED,1.1645454545454546,21.818181818181817,11
edf01,edf01_13,13,object_to_subject,UNDEFINED,UNDEFINED,4.793333333333333,94.0,3
edf01,edf01_13,13,subject_to_subject,UNDEFINED,UNDEFINED,1.5299999999999998,25.2,5
edf01,edf01_14,14,object_to_object,UNDEFINED,UNDEFINED,1.498,33.2,15
edf01,edf01_14,14,object_to_subject,UNDEFINED,UNDEFINED,2.44,28.0,1
edf01,edf01_14,14,subject_to_object,UNDEFINED,UNDEFINED,3.59,36.0,2
edf01,edf01_14,14,subject_to_subject,UNDEFINED,UNDEFINED,1.2942857142857143,23.714285714285715,7
edf01,edf01_15,15,object_to_object,UNDEFINED,UNDEFINED,2.4566666666666666,30.22222222222222,9
edf01,edf01_15,15,subject_to_object,UNDEFINED,UNDEFINED,4.463333333333334,38.0,3
edf01,edf01_15,15,subject_to_subject,UNDEFINED,UNDEFINED,0.9066666666666666,20.666666666666668,3
edf01,edf01_16,16,object_to_object,UNDEFINED,UNDEFINED,1.6960000000000002,25.2,10
edf01,edf01_16,16,object_to_subject,UNDEFINED,UNDEFINED,4.38,38.5,4
edf01,edf01_16,16,subject_to_object,UNDEFINED,UNDEFINED,5.5625,95.5,4
edf01,edf01_16,16,subject_to_subject,UNDEFINED,UNDEFINED,2.229090909090909,28.0,11
edf01,edf01_17,17,object_to_object,UNDEFINED,UNDEFINED,1.647142857142857,25.428571428571427,7
edf01,edf01_17,17,object_to_subject,UNDEFINED,UNDEFINED,5.536666666666666,44.0,3
edf01,edf01_17,17,subject_to_object,UNDEFINED,UNDEFINED,5.0075,87.0,4
edf01,edf01_17,17,subject_to_subject,UNDEFINED,UNDEFINED,1.1136363636363635,20.90909090909091,11
edf01,edf01_18,18,object_to_object,UNDEFINED,UNDEFINED,1.262857142857143,43.714285714285715,7
edf01,edf01_18,18,object_to_subject,UNDEFINED,UNDEFINED,3.1833333333333336,70.0,3
edf01,edf01_18,18,subject_to_object,UNDEFINED,UNDEFINED,2.925,154.0,2
edf01,edf01_18,18,subject_to_subject,UNDEFINED,UNDEFINED,2.4175,31.5,4
edf01,edf01_19,19,object_to_object,exp_images/sentences/Letter-passive.jpg,PWA,0.67,18.0,1
edf01,edf01_19,19,object_to_object,exp_images/sentences/Letter.jpg,ACT,2.3,30.0,1
edf01,edf01_19,19,object_to_subject,exp_images/sentences/Letter-passive.jpg,PWA,4.23,214.0,1
edf01,edf01_19,19,subject_to_object,exp_images/sentences/Letter-passive.jpg,PWA,1.62,26.0,1
edf01,edf01_19,19,subject_to_object,exp_images/sentences/Letter.jpg,ACT,4.29,42.0,1
edf01,edf01_19,19,subject_to_subject,exp_images/sentences/Letter-passive.jpg,PWA,1.3057142857142858,48.57142857142857,7
edf01,edf01_19,19,subject_to_subject,exp_images/sentences/Letter.jpg,ACT,1.625,25.0,2
edf01,edf01_2,2,object_to_object,UNDEFINED,UNDEFINED,1.244,45.0,10
edf01,edf01_2,2,object_to_subject,UNDEFINED,UNDEFINED,3.4333333333333336,32.0,3
edf01,edf01_2,2,subject_to_object,UNDEFINED,UNDEFINED,4.68,38.0,1
edf01,edf01_2,2,subject_to_subject,UNDEFINED,UNDEFINED,1.8399999999999999,26.22222222222222,9
edf01,edf01_20,20,object_to_object,exp_images/sentences/Bucket-passive.jpg,PWA,0.9266666666666666,51.0,6
edf01,edf01_20,20,object_to_object,exp_images/sentences/Bucket.jpg,ACT,1.3975,36.5,4
edf01,edf01_20,20,object_to_subject,exp_images/sentences/Bucket-passive.jpg,PWA,2.13,28.0,2
edf01,edf01_20,20,object_to_subject,exp_images/sentences/Bucket.jpg,ACT,2.355,30.0,2
edf01,edf01_20,20,subject_to_object,exp_images/sentences/Bucket-passive.jpg,PWA,2.0300000000000002,29.0,2
edf01,edf01_20,20,subject_to_object,exp_images/sentences/Bucket.jpg,ACT,2.395,30.0,2
edf01,edf01_20,20,subject_to_subject,exp_images/sentences/Bucket-passive.jpg,PWA,1.13,246.0,1
edf01,edf01_21,21,object_to_object,exp_images/sentences/Folded-clothes-passive.jpg,PWA,0.8640000000000001,94.4,5
edf01,edf01_21,21,object_to_object,exp_images/sentences/Folded-clothes.jpg,ACT,1.47,24.0,6
edf01,edf01_21,21,object_to_subject,exp_images/sentences/Folded-clothes-passive.jpg,PWA,3.02,32.0,1
edf01,edf01_21,21,subject_to_subject,exp_images/sentences/Folded-clothes-passive.jpg,PWA,1.275,23.0,4
edf01,edf01_22,22,object_to_object,exp_images/sentences/Closed-door-passive.jpg,PWA,2.37,219.0,2
edf01,edf01_22,22,object_to_object,exp_images/sentences/Closed-door-woa.jpg,PNA,1.1,22.0,1
edf01,edf01_22,22,object_to_subject,exp_images/sentences/Closed-door-passive.jpg,PWA,2.95,33.0,2
edf01,edf01_22,22,object_to_subject,exp_images/sentences/Closed-door-woa.jpg,PNA,1.73,206.0,1
edf01,edf01_22,22,subject_to_object,exp_images/sentences/Closed-door-passive.jpg,PWA,2.215,85.0,2
edf01,edf01_22,22,subject_to_object,exp_images/sentences/Closed-door-woa.jpg,PNA,0.91,20.0,1
edf01,edf01_22,22,subject_to_subject,exp_images/sentences/Closed-door-passive.jpg,PWA,0.825,20.0,2
edf01,edf01_22,22,subject_to_subject,exp_images/sentences/Closed-door-woa.jpg,PNA,2.6033333333333335,30.333333333333332,6
edf01,edf01_23,23,object_to_object,exp_images/sentences/Lamp-passive.jpg,PWA,1.8,28.0,1
edf01,edf01_23,23,object_to_object,exp_images/sentences/Lamp-woa.jpg,PNA,0.8879999999999999,20.4,5
edf01,edf01_23,23,object_to_subject,exp_images/sentences/Lamp-passive.jpg,PWA,6.57,64.0,1
edf01,edf01_23,23,object_to_subject,exp_images/sentences/Lamp-woa.jpg,PNA,4.11,338.0,1
edf01,edf01_23,23,subject_to_object,exp_images/sentences/Lamp-passive.jpg,PWA,5.01,40.0,1
edf01,edf01_23,23,subject_to_object,exp_images/sentences/Lamp-woa.jpg,PNA,5.19,46.0,1
edf01,edf01_23,23,subject_to_subject,exp_images/sentences/Lamp-passive.jpg,PWA,2.32,28.0,1
edf01,edf01_24,24,object_to_object,exp_images/sentences/Washed-scooter-passive.jpg,PWA,2.106,27.6,5
edf01,edf01_24,24,object_to_object,exp_images/sentences/Washed-scooter-woa.jpg,PNA,1.872222222222222,26.444444444444443,9
