participant_id,trial_id,language,session_type,sentence_type,fixation_trial_length_ms,fixation_total_fixation_duration,fixation_mean_fixation_duration,fixation_fixation_count,fixation_mean_fixation_x,fixation_mean_fixation_y,interest_area_trial_length_ms,interest_area_total_interest_area_dwell_time,interest_area_total_interest_area_entry_count,interest_area_min_time_to_first_fixation,interest_area_interest_area_dwell_time_normalized,saccade_trial_length_ms,saccade_mean_saccade_amplitude,saccade_saccade_count,saccade_mean_saccade_velocity,saccade_mean_saccade_duration,saccade_saccade_rate
edf16,36,Punjabi,sentence_audio,passive_dropped_agent,10877.0,4433.0,554.125,8.0,916.3625,441.6375,4645.0,3941,6,5884.0,0.8484391819160387,10877.0,1.99875,8.0,134.64624999999998,43.5,0.735496920106647
edf16,4,,free_viewing,,6108.0,4266.0,387.8181818181818,11.0,1013.8363636363637,424.909090909091,4545.0,4189,6,1115.0,0.9216721672167216,6108.0,2.581818181818182,11.0,134.04363636363635,40.72727272727273,1.8009168303863787
edf16,5,,free_viewing,,5918.0,4072.0,271.46666666666664,15.0,912.4,379.9133333333333,4281.0,4281,8,925.0,1.0,5918.0,4.411333333333332,15.0,124.06933333333332,47.46666666666667,2.5346400811084826
edf16,6,,free_viewing,,6115.0,4375.0,546.875,8.0,981.8249999999999,633.1,4579.0,4579,4,1122.0,1.0,6115.0,3.6350000000000002,8.0,122.86999999999999,51.75,1.3082583810302535
edf16,7,,free_viewing,,5779.0,4343.0,434.3,10.0,923.04,485.37000000000006,4362.0,3665,6,1118.0,0.8402109124254928,5779.0,3.872,10.0,165.304,63.0,1.7304031839418585
edf16,8,,free_viewing,,5812.0,4258.0,425.8,10.0,836.47,540.5600000000001,4496.0,4496,5,820.0,1.0,5812.0,3.325,10.0,139.11399999999998,49.6,1.7205781142463867
edf16,9,,free_viewing,,6059.0,4483.0,560.375,8.0,873.4875000000001,418.63750000000005,4742.0,4742,6,1067.0,1.0,6059.0,2.89125,8.0,88.61375,31.25,1.320349892721571
edf17,1,,free_viewing,,5688.0,4226.0,325.0769230769231,13.0,1046.5615384615382,441.9153846153846,4523.0,4022,7,1018.0,0.8892328100818041,5688.0,3.574615384615384,13.0,93.17692307692306,36.15384615384615,2.2855133614627285
edf17,10,,free_viewing,,5849.0,4565.0,2282.5,2.0,918.35,465.15,4936.0,4936,2,857.0,1.0,5849.0,2.145,2.0,74.115,28.0,0.34193879295606083
edf17,11,,free_viewing,,5770.0,4212.0,280.8,15.0,979.0266666666665,586.5066666666667,4493.0,2961,4,777.0,0.6590251502336969,5770.0,3.4819999999999998,15.0,94.788,33.333333333333336,2.5996533795493937
edf17,12,,free_viewing,,5775.0,3931.0,327.5833333333333,12.0,974.2000000000002,419.40833333333336,4167.0,3931,5,1048.0,0.943364530837533,5775.0,2.3766666666666665,12.0,116.37583333333335,68.83333333333333,2.0779220779220777
edf17,13,,free_viewing,,5774.0,4178.0,245.76470588235293,17.0,935.3117647058823,685.6705882352941,4404.0,2986,6,782.0,0.6780199818346957,5774.0,3.295,18.0,86.99555555555555,33.333333333333336,3.1174229303775545
edf17,14,,free_viewing,,6054.0,4532.0,1510.6666666666667,3.0,889.3333333333334,411.73333333333335,4906.0,4906,3,1062.0,1.0,6054.0,2.5766666666666667,3.0,84.23333333333333,28.666666666666668,0.4955401387512388
edf17,15,,free_viewing,,6026.0,4070.0,814.0,5.0,966.4400000000002,513.72,4807.0,4807,3,1033.0,1.0,6026.0,3.8579999999999997,5.0,95.68199999999999,37.2,0.8297378028542981
edf17,16,,free_viewing,,5737.0,4255.0,283.6666666666667,15.0,948.6666666666666,387.5133333333333,4426.0,4426,7,745.0,1.0,5737.0,4.421333333333333,15.0,102.76333333333332,37.733333333333334,2.6146069374237406
edf17,17,,free_viewing,,5773.0,4189.0,246.41176470588235,17.0,909.6352941176472,576.964705882353,4390.0,3626,6,781.0,0.8259681093394078,5773.0,3.3676470588235294,17.0,88.32705882352941,35.411764705882355,2.944742768058202
edf17,18,,free_viewing,,5849.0,4485.0,373.75,12.0,1044.8916666666667,381.0083333333334,4614.0,4404,4,857.0,0.9544863459037711,5849.0,3.1458333333333335,12.0,89.68666666666667,31.5,2.0516327577363653
edf17,19,English,sentence_audio,passive,10420.0,4114.0,257.125,16.0,934.95625,566.64375,4271.0,2092,6,5616.0,0.4898150316085226,10420.0,3.983125,16.0,129.56294117647056,43.64705882352941,1.5355086372360844
edf17,2,,free_viewing,,5654.0,4160.0,244.7058823529412,17.0,886.7529411764706,538.2058823529411,4381.0,3793,7,661.0,0.865784067564483,5654.0,3.561764705882353,17.0,86.73294117647058,36.0,3.0067209055535904
edf17,20,English,sentence_audio,passive,10850.0,3928.0,436.44444444444446,9.0,956.5888888888888,427.4555555555556,4312.0,4038,8,5858.0,0.936456400742115,10850.0,2.4655555555555555,9.0,114.7988888888889,75.55555555555556,0.8294930875576038
edf17,21,English,sentence_audio,passive,10527.0,4119.0,374.45454545454544,11.0,957.7636363636364,443.3545454545454,4543.0,4543,5,5534.0,1.0,10527.0,1.9009090909090909,11.0,79.16545454545454,40.90909090909091,1.044932079414838
edf17,22,English,sentence_audio,passive_dropped_agent,10945.0,4056.0,312.0,13.0,907.676923076923,699.6076923076923,4481.0,2446,5,6410.0,0.5458602990403928,10945.0,3.9957142857142856,14.0,104.67857142857143,37.857142857142854,1.2791228871630882
edf17,23,English,sentence_audio,passive_dropped_agent,10251.0,4207.0,280.46666666666664,15.0,1073.8999999999999,751.6066666666667,4445.0,4445,3,5258.0,1.0,10251.0,3.412666666666667,15.0,85.842,36.53333333333333,1.463271875914545
edf17,24,English,sentence_audio,passive_dropped_agent,10390.0,4346.0,310.42857142857144,14.0,959.35,428.3642857142857,4503.0,4503,5,5397.0,1.0,10390.0,3.6907142857142863,14.0,88.32285714285715,35.0,1.3474494706448508
edf17,25,Punjabi,sentence_audio,active,10614.0,3996.0,333.0,12.0,861.2333333333335,520.0916666666667,4375.0,4375,4,5623.0,1.0,10614.0,3.670833333333333,12.0,104.38666666666666,51.333333333333336,1.130582249858677
edf17,26,Punjabi,sentence_audio,active,10507.0,4248.0,354.0,12.0,964.1000000000003,396.50833333333327,4427.0,3896,4,5728.0,0.8800542127851818,10507.0,3.582499999999999,12.0,111.24307692307693,44.46153846153846,1.1420957456933474
edf17,27,Punjabi,sentence_audio,active,10223.0,4355.0,544.375,8.0,867.8375000000001,425.1125,4578.0,4578,5,5231.0,1.0,10223.0,2.54,8.0,100.66875000000002,51.75,0.7825491538687274
edf17,28,Punjabi,sentence_audio,passive,10547.0,4413.0,551.625,8.0,897.6874999999999,357.4125,4655.0,4655,3,5554.0,1.0,10547.0,1.6225,8.0,83.01625,42.25,0.7585095287759552
edf17,29,Punjabi,sentence_audio,passive,10840.0,3972.0,209.05263157894737,19.0,880.7000000000002,499.0105263157895,4177.0,4105,8,5847.0,0.9827627483840077,10840.0,2.98,19.0,86.03684210526315,42.94736842105263,1.7527675276752768
edf17,3,,free_viewing,,6106.0,4312.0,287.46666666666664,15.0,891.4066666666665,606.8133333333333,4501.0,4501,5,1115.0,1.0,6106.0,3.2866666666666666,15.0,88.09733333333334,32.666666666666664,2.456600065509335
edf17,30,Punjabi,sentence_audio,passive,10206.0,4286.0,252.11764705882354,17.0,957.0470588235294,437.1470588235294,4488.0,4108,7,5442.0,0.9153297682709447,10206.0,2.59,17.0,78.07000000000001,29.647058823529413,1.6656868508720362
edf17,31,Punjabi,sentence_audio,passive_dropped_agent,10776.0,4062.0,270.8,15.0,887.0933333333336,617.8066666666667,4196.0,3472,4,5784.0,0.8274547187797903,10776.0,3.007333333333334,15.0,88.58200000000001,53.06666666666667,1.3919821826280623
edf17,32,Punjabi,sentence_audio,passive_dropped_agent,10825.0,4605.0,767.5,6.0,956.0500000000001,620.8166666666667,4812.0,4698,3,5833.0,0.9763092269326683,10825.0,2.36,6.0,75.14,30.0,0.5542725173210162
edf17,33,Punjabi,sentence_audio,passive_dropped_agent,10710.0,4566.0,507.3333333333333,9.0,927.2111111111112,518.8111111111111,4745.0,4566,5,5926.0,0.9622760800842992,10710.0,2.197777777777778,9.0,77.82777777777777,27.555555555555557,0.8403361344537814
edf17,34,English,sentence_audio,active,10479.0,4209.0,420.9,10.0,959.97,513.96,4452.0,4209,4,5756.0,0.9454177897574124,10479.0,2.598,10.0,85.06200000000001,54.0,0.9542895314438401
edf17,35,English,sentence_audio,active,10559.0,4421.0,340.0769230769231,13.0,979.3076923076922,517.546153846154,4626.0,4237,3,5567.0,0.9159100734976221,10559.0,2.1115384615384616,13.0,68.72000000000001,28.153846153846153,1.2311771948101147
edf17,36,English,sentence_audio,active,10199.0,4239.0,326.0769230769231,13.0,943.9461538461538,510.176923076923,4475.0,4475,6,5206.0,1.0,10199.0,4.1946153846153855,13.0,100.70692307692308,39.84615384615385,1.2746347681145211
edf17,4,,free_viewing,,6070.0,4326.0,288.4,15.0,973.2400000000001,629.6933333333333,4503.0,1998,5,1286.0,0.44370419720186544,6070.0,3.1980000000000004,15.0,89.85200000000002,32.666666666666664,2.471169686985173
edf17,5,,free_viewing,,5934.0,4224.0,281.6,15.0,957.4400000000002,428.5199999999999,4401.0,3328,8,1150.0,0.7561917745966825,5934.0,4.542666666666666,15.0,108.92266666666664,39.46666666666667,2.5278058645096055
edf17,6,,free_viewing,,6105.0,4125.0,317.3076923076923,13.0,1008.3000000000001,503.49230769230775,4374.0,3962,4,1113.0,0.9058070416095108,6105.0,2.32,13.0,83.07846153846154,47.53846153846154,2.1294021294021293
edf17,7,,free_viewing,,5684.0,4436.0,403.27272727272725,11.0,1054.2545454545455,601.9090909090909,4682.0,4682,3,692.0,1.0,5684.0,2.2790909090909093,11.0,78.5218181818182,28.181818181818183,1.9352568613652357
edf17,8,,free_viewing,,6100.0,4310.0,307.85714285714283,14.0,1011.9571428571429,493.0142857142856,4497.0,4497,5,1107.0,1.0,6100.0,3.5807142857142855,14.0,87.75,35.42857142857143,2.295081967213115
edf17,9,,free_viewing,,5710.0,4364.0,290.93333333333334,15.0,939.2533333333333,516.9133333333333,4424.0,4424,7,718.0,1.0,5710.0,4.574,15.0,113.11133333333335,37.86666666666667,2.626970227670753
edf18,1,,free_viewing,,5800.0,4200.0,247.05882352941177,17.0,873.2941176470588,480.90000000000003,4444.0,4444,7,810.0,1.0,5800.0,2.7655555555555558,18.0,79.76388888888891,30.555555555555557,3.103448275862069
edf18,10,,free_viewing,,5751.0,3895.0,216.38888888888889,18.0,1008.4833333333333,520.0722222222222,3916.0,2583,6,958.0,0.6596016343207355,5751.0,4.049444444444445,18.0,168.02722222222224,59.77777777777778,3.1298904538341157
edf18,11,,free_viewing,,5915.0,4098.0,273.2,15.0,986.9666666666668,515.4,4271.0,3133,4,923.0,0.733551861390775,5915.0,3.2837500000000004,16.0,97.69999999999999,45.75,2.7049873203719357
edf18,12,,free_viewing,,5893.0,4117.0,316.6923076923077,13.0,775.6999999999999,634.3692307692307,4184.0,4184,4,901.0,1.0,5893.0,3.1876923076923074,13.0,156.24307692307693,62.15384615384615,2.2060071270999493
edf18,13,,free_viewing,,5684.0,4034.0,310.3076923076923,13.0,973.7538461538463,447.97692307692313,4302.0,4302,7,692.0,1.0,5684.0,2.496153846153846,13.0,148.43153846153848,53.07692307692308,2.287121745249824
