participant_id,data_file,TRIAL_INDEX,TRIAL_LABEL,TRIAL_START_TIME,IA_LABEL,IA_DWELL_TIME,IA_FIXATION_COUNT,IA_FIRST_FIXATION_TIME,IA_FIRST_FIXATION_DURATION,IA_FIRST_FIXATION_INDEX,IA_AREA,IA_LEFT,IA_RIGHT,IA_TOP,IA_BOTTOM,TRIAL_DWELL_TIME,TRIAL_FIXATION_COUNT,TRIAL_IA_COUNT,sentence,voice_id,image_id,stim_id,image,stimulus_file,session_var,exp_id,language,audio,aoi_type,trial_id,sentence_clean
edf01,interest_area_edf01_2025_04_08_13_47.xls,23,Trial: 23,2567314,o_lamp_girl_light_lamp,2296,3,5780.0,650.0,1.0,191100.0,592.0,886.0,377.0,1027.0,4832.0,5,2,exp_images/sentences/Lamp-passive.jpg,PWA,IMG_01,STIM_19,exp_images/images/girl_lighted_lamp.jpg,stimuli_list_subj_1_a.csv,experiment,IMG_01_P_PWA,PUNJABI,exp_images/audio\PUNJABI\p_lamp.wav,object,edf01_23,exp_images/sentences/Lamp-passive.jpg
edf01,interest_area_edf01_2025_04_08_13_47.xls,23,Trial: 23,2567314,s_girl_girl_lit_lamp,2536,2,7956.0,932.0,3.0,242195.0,917.0,1212.0,119.0,940.0,4832.0,5,2,exp_images/sentences/Lamp-passive.jpg,PWA,IMG_01,STIM_19,exp_images/images/girl_lighted_lamp.jpg,stimuli_list_subj_1_a.csv,experiment,IMG_01_P_PWA,PUNJABI,exp_images/audio\PUNJABI\p_lamp.wav,subject,edf01_23,exp_images/sentences/Lamp-passive.jpg
edf01,interest_area_edf01_2025_04_08_13_47.xls,24,Trial: 24,2581940,s_driver_driver_wash_scooter,810,3,6684.0,390.0,4.0,212100.0,551.0,854.0,44.0,744.0,4452.0,11,2,exp_images/sentences/Washed-scooter-passive.jpg,PWA,IMG_14,STIM_32,exp_images/images/driver_wash_scooter.jpg,stimuli_list_subj_1_a.csv,experiment,IMG_14_P_PWA,PUNJABI,exp_images/audio\PUNJABI\p_scooter.wav,subject,edf01_24,exp_images/sentences/Washed-scooter-passive.jpg
edf01,interest_area_edf01_2025_04_08_13_47.xls,24,Trial: 24,2581940,o_scooter_driver_wash_scooter,3642,8,5562.0,298.0,1.0,314818.0,862.0,1260.0,260.0,1051.0,4452.0,11,2,exp_images/sentences/Washed-scooter-passive.jpg,PWA,IMG_14,STIM_32,exp_images/images/driver_wash_scooter.jpg,stimuli_list_subj_1_a.csv,experiment,IMG_14_P_PWA,PUNJABI,exp_images/audio\PUNJABI\p_scooter.wav,object,edf01_24,exp_images/sentences/Washed-scooter-passive.jpg
edf01,interest_area_edf01_2025_04_08_13_47.xls,25,Trial: 25,2596350,o_box_man_pushed_box,1986,6,6164.0,256.0,2.0,178451.0,1014.0,1385.0,311.0,792.0,4658.0,9,2,exp_images/sentences/Pushed-box-woa.jpg,PNA,IMG_05,STIM_41,exp_images/images/man_pushed_box.jpg,stimuli_list_subj_1_a.csv,experiment,IMG_05_P_PNA,PUNJABI,exp_images/audio\PUNJABI\p_woa_box.wav,object,edf01_25,exp_images/sentences/Pushed-box-woa.jpg
edf01,interest_area_edf01_2025_04_08_13_47.xls,25,Trial: 25,2596350,s_man_man_pushed_box,2672,3,5872.0,258.0,1.0,189880.0,580.0,984.0,199.0,669.0,4658.0,9,2,exp_images/sentences/Pushed-box-woa.jpg,PNA,IMG_05,STIM_41,exp_images/images/man_pushed_box.jpg,stimuli_list_subj_1_a.csv,experiment,IMG_05_P_PNA,PUNJABI,exp_images/audio\PUNJABI\p_woa_box.wav,subject,edf01_25,exp_images/sentences/Pushed-box-woa.jpg
edf01,interest_area_edf01_2025_04_08_13_47.xls,26,Trial: 26,2611072,o_tree_girl_plant_tree,3248,3,5714.0,222.0,2.0,137246.0,,,,,4669.0,8,2,exp_images/sentences/Sapling-woa.jpg,PNA,IMG_03,STIM_39,exp_images/images/girl_plant_tree.jpg,stimuli_list_subj_1_a.csv,experiment,IMG_03_P_PNA,PUNJABI,exp_images/audio\PUNJABI\p_woa_sapling.wav,object,edf01_26,exp_images/sentences/Sapling-woa.jpg
edf01,interest_area_edf01_2025_04_08_13_47.xls,26,Trial: 26,2611072,s_girl_girl_plant_tree,1057,4,5418.0,256.0,1.0,127012.5,,,,,4669.0,8,2,exp_images/sentences/Sapling-woa.jpg,PNA,IMG_03,STIM_39,exp_images/images/girl_plant_tree.jpg,stimuli_list_subj_1_a.csv,experiment,IMG_03_P_PNA,PUNJABI,exp_images/audio\PUNJABI\p_woa_sapling.wav,subject,edf01_26,exp_images/sentences/Sapling-woa.jpg
edf01,interest_area_edf01_2025_04_08_13_47.xls,27,Trial: 27,2625350,o_shrub_man_cut_shrub,2695,9,6364.0,172.0,2.0,291819.0,502.0,909.0,228.0,945.0,4425.0,13,2,exp_images/sentences/Shrub-woa.jpg,PNA,IMG_04,STIM_40,exp_images/images/man_cut_shrub.jpg,stimuli_list_subj_1_a.csv,experiment,IMG_04_P_PNA,PUNJABI,exp_images/audio\PUNJABI\p_woa_shrub.wav,object,edf01_27,exp_images/sentences/Shrub-woa.jpg
edf01,interest_area_edf01_2025_04_08_13_47.xls,27,Trial: 27,2625350,s_man_man_cut_shrub,1066,2,6152.0,178.0,1.0,358092.0,923.0,1364.0,150.0,962.0,4425.0,13,2,exp_images/sentences/Shrub-woa.jpg,PNA,IMG_04,STIM_40,exp_images/images/man_cut_shrub.jpg,stimuli_list_subj_1_a.csv,experiment,IMG_04_P_PNA,PUNJABI,exp_images/audio\PUNJABI\p_woa_shrub.wav,subject,edf01_27,exp_images/sentences/Shrub-woa.jpg
