participant_id,trial_id,language,session_type,sentence_type,trial_length_ms,total_fixation_duration,mean_fixation_duration,fixation_count,mean_fixation_x,mean_fixation_y
edf06,24,Punjabi,sentence_audio,active,10481,4185,220.26315789473685,19,918.021052631579,532.7421052631579
edf06,25,Punjabi,sentence_audio,passive,10851,4033,336.0833333333333,12,931.6,404.72499999999997
edf06,26,Punjabi,sentence_audio,passive,10634,3844,240.25,16,888.4375000000002,549.56875
edf06,27,Punjabi,sentence_audio,passive,10801,4347,310.5,14,853.657142857143,392.7357142857143
edf06,28,Punjabi,sentence_audio,passive_dropped_agent,11081,4331,309.35714285714283,14,977.842857142857,686.7428571428571
edf06,29,Punjabi,sentence_audio,passive_dropped_agent,10692,4178,321.38461538461536,13,974.1384615384615,439.1538461538461
edf06,3,,free_viewing,,5656,4052,202.6,20,944.735,504.56499999999994
edf06,30,Punjabi,sentence_audio,passive_dropped_agent,10720,4252,265.75,16,911.9625,474.81875
edf06,31,English,sentence_audio,active,10557,4391,313.64285714285717,14,974.8999999999999,420.1285714285714
edf06,32,English,sentence_audio,active,10716,4310,431.0,10,924.47,470.2
edf06,33,English,sentence_audio,active,10907,4487,373.9166666666667,12,1045.65,485.0833333333333
edf06,34,English,sentence_audio,passive,10851,4352,334.7692307692308,13,920.5692307692309,636.6076923076923
edf06,35,English,sentence_audio,passive,10838,4110,411.0,10,960.1599999999999,758.0
edf06,36,English,sentence_audio,passive,11057,4315,359.5833333333333,12,886.5500000000001,483.32500000000005
edf06,4,,free_viewing,,5968,4222,263.875,16,1008.9874999999998,560.5562500000001
edf06,5,,free_viewing,,5840,4494,408.54545454545456,11,937.8272727272729,500.6818181818181
edf06,6,,free_viewing,,5722,4370,336.15384615384613,13,965.3923076923077,485.55384615384617
edf06,7,,free_viewing,,5905,4031,251.9375,16,838.6937500000001,503.9375
edf06,8,,free_viewing,,6121,4103,241.35294117647058,17,918.4705882352943,570.4470588235295
edf06,9,,free_viewing,,5729,3951,246.9375,16,946.325,463.22499999999997
edf07,1,,free_viewing,,5693,4273,328.6923076923077,13,890.9153846153846,590.5692307692308
edf07,10,,free_viewing,,5818,4506,751.0,6,979.8666666666668,610.8666666666667
edf07,11,,free_viewing,,5943,4249,607.0,7,961.7285714285714,366.0571428571429
edf07,12,,free_viewing,,6037,4365,545.625,8,963.9875,213.85000000000002
edf07,13,,free_viewing,,5953,4317,1079.25,4,996.8,257.375
edf07,14,,free_viewing,,5789,3679,408.77777777777777,9,863.2333333333333,216.17777777777778
edf07,15,,free_viewing,,6067,3863,482.875,8,938.1625,386.9875
edf07,16,,free_viewing,,5695,4471,1117.75,4,996.675,271.2
edf07,17,,free_viewing,,5669,3491,436.375,8,871.925,219.22499999999997
edf07,18,,free_viewing,,6004,4126,687.6666666666666,6,979.8499999999999,293.83333333333337
edf07,19,Punjabi,sentence_audio,active,10979,4585,1146.25,4,1000.85,336.09999999999997
edf07,2,,free_viewing,,5665,4243,282.8666666666667,15,1114.8799999999999,383.64
edf07,20,Punjabi,sentence_audio,active,10941,4291,1430.3333333333333,3,1012.1,143.53333333333333
edf07,21,Punjabi,sentence_audio,active,10300,796,265.3333333333333,3,993.1333333333333,407.2
edf07,22,Punjabi,sentence_audio,passive,10680,4252,2126.0,2,904.15,247.7
edf07,23,Punjabi,sentence_audio,passive,10580,4470,1117.5,4,994.0500000000001,88.85
edf07,24,Punjabi,sentence_audio,passive,10282,3800,316.6666666666667,12,813.0499999999998,193.27500000000006
edf07,25,Punjabi,sentence_audio,passive_dropped_agent,10561,1135,378.3333333333333,3,960.5333333333333,112.66666666666667
edf07,26,Punjabi,sentence_audio,passive_dropped_agent,11065,2975,247.91666666666666,12,749.9,281.52500000000003
edf07,27,Punjabi,sentence_audio,passive_dropped_agent,10317,4367,485.22222222222223,9,864.5555555555555,361.06666666666666
edf07,28,English,sentence_audio,active,10201,4575,457.5,10,850.9100000000001,616.67
edf07,29,English,sentence_audio,active,10892,4060,451.1111111111111,9,928.1333333333334,11.666666666666666
edf07,3,,free_viewing,,6046,4404,367.0,12,927.8916666666668,292.56666666666666
edf07,30,English,sentence_audio,active,10462,4608,658.2857142857143,7,836.8857142857142,468.2857142857143
edf07,31,English,sentence_audio,passive,10947,4655,517.2222222222222,9,984.6666666666666,415.0777777777778
edf07,32,English,sentence_audio,passive,10577,4473,1491.0,3,905.1,236.23333333333335
edf07,33,English,sentence_audio,passive,10592,4256,472.8888888888889,9,987.5888888888888,362.32222222222225
edf07,34,English,sentence_audio,passive_dropped_agent,10830,4412,1103.0,4,918.875,509.775
edf07,35,English,sentence_audio,passive_dropped_agent,10451,2365,2365.0,1,993.9,289.3
