participant_id,trial_id,TRIAL_INDEX,aoi_type,sentence,voice_id,image_id,stim_id,total_fixation_duration,mean_fixation_duration,median_fixation_duration,n_fixations,first_fixation_time,last_fixation_time,time_to_first_fixation
edf01,edf01_13,13,subject,UNDEFINEDnull,UNDEFINEDnull,IMG_08,UNDEFINEDnull,1128,282.0,187.0,4,2256,3446,1436
edf01,edf01_13,13,subject,UNDEFINEDnull,UNDEFINEDnull,IMG_16,UNDEFINEDnull,1142,285.5,255.0,4,4024,5812,3204
edf01,edf01_14,14,object,UNDEFINEDnull,UNDEFINEDnull,IMG_01,UNDEFINEDnull,1566,223.71428571428572,150.0,7,1360,3192,596
edf01,edf01_14,14,object,UNDEFINEDnull,UNDEFINEDnull,IMG_08,UNDEFINEDnull,3517,351.7,327.0,10,764,5757,0
edf01,edf01_14,14,other,UNDEFINEDnull,UNDEFINEDnull,IMG_08,UNDEFINEDnull,436,436.0,436.0,1,3652,4086,2888
edf01,edf01_14,14,subject,UNDEFINEDnull,UNDEFINEDnull,IMG_01,UNDEFINEDnull,2833,354.125,233.5,8,1095,5958,331
edf01,edf01_14,14,subject,UNDEFINEDnull,UNDEFINEDnull,IMG_08,UNDEFINEDnull,712,356.0,356.0,2,4118,4860,3354
edf01,edf01_15,15,object,UNDEFINEDnull,UNDEFINEDnull,IMG_13,UNDEFINEDnull,1446,361.5,367.0,4,1218,5080,500
edf01,edf01_15,15,object,UNDEFINEDnull,UNDEFINEDnull,IMG_18,UNDEFINEDnull,4446,494.0,536.0,9,1024,5710,306
edf01,edf01_15,15,other,UNDEFINEDnull,UNDEFINEDnull,IMG_13,UNDEFINEDnull,1660,207.5,173.0,8,1638,5676,920
edf01,edf01_15,15,subject,UNDEFINEDnull,UNDEFINEDnull,IMG_13,UNDEFINEDnull,1098,183.0,190.0,6,812,4542,94
edf01,edf01_15,15,subject,UNDEFINEDnull,UNDEFINEDnull,IMG_18,UNDEFINEDnull,268,268.0,268.0,1,718,984,0
