participant_id,trial_id,TRIAL_INDEX,sentence,voice_id,image_id,stim_id,mean_saccade_amplitude,mean_saccade_duration,mean_saccade_velocity,mean_peak_velocity,n_saccades
edf15,edf15_19,19,exp_images/sentences/Tabla-woa.jpg,PNA,IMG_11,STIM_47,3.014705882352941,32.588235294117645,86.78941176470589,137.41470588235296,17
edf15,edf15_2,2,UNDEFINED,UNDEFINED,IMG_14,UNDEFINED,3.183333333333333,32.857142857142854,86.48238095238096,134.37190476190477,21
edf15,edf15_20,20,exp_images/sentences/Closed-door-woa.jpg,PNA,IMG_10,STIM_46,1.81,31.09090909090909,80.23727272727272,127.48181818181818,11
edf15,edf15_21,21,exp_images/sentences/Bucket-woa.jpg,PNA,IMG_09,STIM_45,1.7988888888888885,26.11111111111111,61.25277777777777,92.71333333333332,18
edf15,edf15_22,22,exp_images/sentences/active_girl_dog.jpg,ACT,IMG_16,STIM_70,3.5164999999999997,33.6,91.4375,148.73700000000002,20
edf15,edf15_23,23,exp_images/sentences/active_driver_scooter.jpg,ACT,IMG_14,STIM_68,3.758421052631579,34.421052631578945,97.48894736842105,165.00894736842105,19
edf15,edf15_24,24,exp_images/sentences/active_artist_picture.jpg,ACT,IMG_07,STIM_61,3.325714285714286,54.476190476190474,120.38047619047617,342.9304761904762,21
edf15,edf15_25,25,exp_images/sentences/passive_girl_sapling.jpg,PWA,IMG_03,STIM_75,3.0730769230769233,44.0,91.28461538461539,224.38153846153847,13
edf15,edf15_26,26,exp_images/sentences/passive_child_frisbee.jpg,PWA,IMG_12,STIM_84,3.1976923076923076,49.84615384615385,116.6276923076923,289.67384615384617,13
edf15,edf15_27,27,exp_images/sentences/passive_boy_vase.jpg,PWA,IMG_08,STIM_80,2.5042857142857144,39.285714285714285,88.89714285714285,206.74857142857144,14
edf15,edf15_28,28,exp_images/sentences/noagent_man_box.jpg,PNA,IMG_05,STIM_95,2.655238095238095,44.857142857142854,116.58190476190478,361.85285714285715,21
edf15,edf15_29,29,exp_images/sentences/noagent_man_shrub.jpg,PNA,IMG_04,STIM_94,3.0052941176470584,31.294117647058822,84.20941176470588,137.9664705882353,17
edf15,edf15_3,3,UNDEFINED,UNDEFINED,IMG_12,UNDEFINED,3.81,36.333333333333336,98.1588888888889,158.16722222222222,18
edf15,edf15_30,30,exp_images/sentences/noagent_girl_window.jpg,PNA,IMG_02,STIM_92,3.73,68.875,131.926875,507.130625,16
edf15,edf15_31,31,exp_images/sentences/Dog-dug.jpg,ACT,IMG_13,STIM_13,2.7510526315789474,47.473684210526315,129.5457894736842,409.10368421052635,19
edf15,edf15_32,32,exp_images/sentences/Veg.jpg,ACT,IMG_18,STIM_18,2.96125,57.125,99.88125,273.315625,16
edf15,edf15_33,33,exp_images/sentences/Cake.jpg,ACT,IMG_15,STIM_15,2.7331578947368422,32.63157894736842,79.40157894736842,135.20894736842104,19
edf15,edf15_34,34,exp_images/sentences/Folded-clothes-passive.jpg,PWA,IMG_06,STIM_24,2.63,51.64705882352941,112.04411764705883,392.7529411764706,17
edf15,edf15_35,35,exp_images/sentences/Letter-passive.jpg,PWA,IMG_17,STIM_35,2.21,28.8,71.11933333333333,116.14066666666666,15
edf15,edf15_36,36,exp_images/sentences/Lamp-passive.jpg,PWA,IMG_01,STIM_19,2.816842105263158,37.473684210526315,86.27842105263157,188.7921052631579,19
edf15,edf15_4,4,UNDEFINED,UNDEFINED,IMG_10,UNDEFINED,1.9500000000000002,40.333333333333336,121.92166666666668,344.6683333333333,18
edf15,edf15_5,5,UNDEFINED,UNDEFINED,IMG_13,UNDEFINED,2.646,30.9,79.053,121.104,20
edf15,edf15_6,6,UNDEFINED,UNDEFINED,IMG_02,UNDEFINED,2.8776470588235297,44.588235294117645,128.34764705882353,427.5341176470588,17
edf15,edf15_7,7,UNDEFINED,UNDEFINED,IMG_09,UNDEFINED,2.0991666666666666,37.166666666666664,104.2675,235.14416666666668,12
