participant_id,trial_id,language,session_type,sentence_type,ia_label,trial_length_ms,dwell_time,entry_count,time_to_first_fixation,mean_time_to_first_fixation,dwell_time_normalized_by_trial_length
edf03,10,,free_viewing,,o_tree_girl_plant_tree,3914.0,1974,2,1120.0,1120.0,0.5043433827286663
edf03,10,,free_viewing,,s_girl_girl_plant_tree,3914.0,1430,3,840.0,840.0,0.3653551354113439
edf03,11,,free_viewing,,o_dog_girl_fed_dog,4337.0,937,3,3328.0,3328.0,0.2160479594189532
edf03,11,,free_viewing,,s_girl_girl_fed_dog,4337.0,1698,4,1198.0,1198.0,0.3915148720313581
edf03,12,,free_viewing,,o_box_man_pushed_box,4602.0,1598,1,2016.0,2016.0,0.34724033029117773
edf03,12,,free_viewing,,s_man_man_pushed_box,4602.0,3004,2,913.0,913.0,0.6527596697088223
edf03,13,,free_viewing,,o_hole_dog_dug_hole,4575.0,2345,3,1242.0,1242.0,0.512568306010929
edf03,13,,free_viewing,,s_dog_dog_dug_hole,4575.0,1310,3,716.0,716.0,0.2863387978142076
edf03,14,,free_viewing,,o_vase_boy_broke_vase,4216.0,2596,2,1024.0,1024.0,0.6157495256166983
edf03,14,,free_viewing,,s_boy_boy_broke_vase,4216.0,954,2,2736.0,2736.0,0.226280834914611
edf03,15,,free_viewing,,o_shrub_man_cut_shrub,4633.0,3957,3,1098.0,1098.0,0.8540902223181523
edf03,15,,free_viewing,,s_man_man_cut_shrub,4633.0,222,1,3604.0,3604.0,0.04791711633930498
edf03,16,,free_viewing,,o_cake_girl_baked_cake,4490.0,950,3,1314.0,1314.0,0.21158129175946547
edf03,16,,free_viewing,,s_girl_girl_baked_cake,4490.0,916,4,1748.0,1748.0,0.20400890868596883
edf03,17,,free_viewing,,o_letter_woman_read_letter,4434.0,884,3,2606.0,2606.0,0.19936851601262967
edf03,17,,free_viewing,,s_woman_woman_read_letter,4434.0,2962,5,1088.0,1088.0,0.6680198466396031
edf03,18,,free_viewing,,o_frisbee_child_throw_frisbee,4346.0,2338,5,1128.0,1128.0,0.5379659456971928
