participant_id,trial_id,language,session_type,sentence_type,trial_length_ms,total_interest_area_dwell_time,total_interest_area_entry_count,min_time_to_first_fixation,interest_area_dwell_time_normalized
edf01,32,English,sentence_audio,passive,4784.0,4692,1,5920.0,0.9807692307692307
edf01,33,English,sentence_audio,passive,4653.0,4422,5,5674.0,0.950354609929078
edf01,34,English,sentence_audio,passive_dropped_agent,4800.0,3500,3,5944.0,0.7291666666666666
edf01,35,English,sentence_audio,passive_dropped_agent,4514.0,3680,4,6074.0,0.8152414709791759
edf01,36,English,sentence_audio,passive_dropped_agent,3836.0,3836,1,5834.0,1.0
edf01,4,,free_viewing,,4585.0,3884,3,928.0,0.8471101417666304
edf01,5,,free_viewing,,4540.0,4540,3,845.0,1.0
edf01,6,,free_viewing,,4725.0,3653,2,807.0,0.7731216931216931
edf01,7,,free_viewing,,4495.0,4495,3,823.0,1.0
edf01,8,,free_viewing,,4574.0,4304,4,1252.0,0.9409707039790118
edf01,9,,free_viewing,,4698.0,4445,3,1176.0,0.9461472967220094
edf02,1,,free_viewing,,4511.0,3597,6,699.0,0.7973841720239415
edf02,10,,free_viewing,,4492.0,4492,4,970.0,1.0
edf02,11,,free_viewing,,4198.0,4050,3,1053.0,0.9647451167222487
edf02,12,,free_viewing,,4204.0,3742,5,1076.0,0.890104662226451
edf02,13,,free_viewing,,4565.0,4565,3,1099.0,1.0
edf02,14,,free_viewing,,4399.0,4399,3,1095.0,1.0
edf02,15,,free_viewing,,4204.0,2544,6,812.0,0.6051379638439581
edf02,16,,free_viewing,,4247.0,4055,8,1028.0,0.9547916176124323
edf02,17,,free_viewing,,4282.0,3480,5,1050.0,0.812704343764596
edf02,18,,free_viewing,,4403.0,4145,3,1172.0,0.941403588462412
edf02,19,Punjabi,sentence_audio,passive,4406.0,4406,3,6194.0,1.0
edf02,2,,free_viewing,,4405.0,4120,3,1110.0,0.9353007945516458
edf02,20,Punjabi,sentence_audio,passive,4326.0,4326,5,5502.0,1.0
edf02,21,Punjabi,sentence_audio,passive,4375.0,4041,4,5566.0,0.9236571428571428
edf02,22,Punjabi,sentence_audio,passive_dropped_agent,4538.0,4398,4,5411.0,0.9691494050242397
edf02,23,Punjabi,sentence_audio,passive_dropped_agent,4478.0,4478,3,5308.0,1.0
edf02,24,Punjabi,sentence_audio,passive_dropped_agent,4510.0,4262,3,5341.0,0.9450110864745012
edf02,25,English,sentence_audio,active,4618.0,4295,3,5363.0,0.9300563014291902
edf02,26,English,sentence_audio,active,4224.0,3420,7,5345.0,0.8096590909090909
edf02,27,English,sentence_audio,active,4838.0,4838,3,6097.0,1.0
edf02,28,English,sentence_audio,passive,4326.0,3366,5,5171.0,0.7780859916782247
edf02,29,English,sentence_audio,passive,4132.0,3144,3,6216.0,0.7608906098741529
edf02,3,,free_viewing,,4266.0,3778,5,981.0,0.8856071261134553
edf02,30,English,sentence_audio,passive,4452.0,3546,2,6100.0,0.7964959568733153
edf02,31,English,sentence_audio,passive_dropped_agent,4425.0,4425,4,5685.0,1.0
edf02,32,English,sentence_audio,passive_dropped_agent,4604.0,2710,3,5900.0,0.5886185925282363
edf02,33,English,sentence_audio,passive_dropped_agent,4340.0,4140,5,6014.0,0.9539170506912442
edf02,34,Punjabi,sentence_audio,active,4340.0,3686,3,6252.0,0.8493087557603687
edf02,35,Punjabi,sentence_audio,active,4673.0,4673,3,5404.0,1.0
edf02,36,Punjabi,sentence_audio,active,4657.0,4657,1,6099.0,1.0
edf02,4,,free_viewing,,4464.0,2722,3,1294.0,0.6097670250896058
edf02,5,,free_viewing,,4374.0,4374,5,1184.0,1.0
edf02,6,,free_viewing,,4440.0,4253,2,1135.0,0.9578828828828829
edf02,7,,free_viewing,,4224.0,2828,5,962.0,0.6695075757575758
edf02,8,,free_viewing,,4520.0,3799,4,707.0,0.8404867256637168
edf02,9,,free_viewing,,4253.0,4253,4,899.0,1.0
edf03,1,,free_viewing,,4679.0,4679,3,1047.0,1.0
edf03,10,,free_viewing,,3914.0,3404,5,840.0,0.8696985181400102
edf03,11,,free_viewing,,4337.0,2635,7,1198.0,0.6075628314503113
edf03,12,,free_viewing,,4602.0,4602,3,913.0,1.0
edf03,13,,free_viewing,,4575.0,3655,6,716.0,0.7989071038251366
edf03,14,,free_viewing,,4216.0,3550,4,1024.0,0.8420303605313093
edf03,15,,free_viewing,,4633.0,4179,4,1098.0,0.9020073386574574
edf03,16,,free_viewing,,4490.0,1866,7,1314.0,0.4155902004454343
edf03,17,,free_viewing,,4434.0,3846,8,1088.0,0.8673883626522327
edf03,18,,free_viewing,,4346.0,3660,9,1128.0,0.8421537045559134
edf03,19,Punjabi,sentence_audio,passive_dropped_agent,4608.0,4608,3,5365.0,1.0
edf03,2,,free_viewing,,4588.0,3401,4,1144.0,0.74128160418483
edf03,20,Punjabi,sentence_audio,passive_dropped_agent,4323.0,3865,7,5689.0,0.8940550543603979
edf03,21,Punjabi,sentence_audio,passive_dropped_agent,4212.0,4212,11,5464.0,1.0
edf03,22,English,sentence_audio,active,4258.0,3679,4,6224.0,0.8640206669798027
edf03,23,English,sentence_audio,active,4256.0,4061,8,5191.0,0.9541823308270677
edf03,24,English,sentence_audio,active,4482.0,4482,1,5664.0,1.0
edf03,25,English,sentence_audio,passive,4108.0,3458,7,5324.0,0.8417721518987342
edf03,26,English,sentence_audio,passive,3855.0,3629,6,5723.0,0.9413748378728923
edf03,27,English,sentence_audio,passive,3848.0,3848,1,5372.0,1.0
edf03,28,English,sentence_audio,passive_dropped_agent,4318.0,3380,7,5635.0,0.7827698008337193
edf03,29,English,sentence_audio,passive_dropped_agent,3967.0,0,0,,0.0
edf03,3,,free_viewing,,4554.0,4406,6,883.0,0.9675010979358806
edf03,30,English,sentence_audio,passive_dropped_agent,4189.0,3310,6,6324.0,0.7901647171162569
edf03,31,Punjabi,sentence_audio,active,4061.0,3933,8,6169.0,0.9684806697857671
edf03,32,Punjabi,sentence_audio,active,4440.0,914,2,5936.0,0.20585585585585586
edf03,33,Punjabi,sentence_audio,active,4337.0,3891,5,5634.0,0.8971639382061333
edf03,34,Punjabi,sentence_audio,passive,4331.0,3109,7,6028.0,0.7178480720387901
edf03,35,Punjabi,sentence_audio,passive,3591.0,3591,5,5793.0,1.0
edf03,36,Punjabi,sentence_audio,passive,3903.0,3903,4,5263.0,1.0
edf03,4,,free_viewing,,4405.0,4405,4,963.0,1.0
