participant_id,trial_id,language,session_type,sentence_type,first_aoi_fix_index,current_fix_interest_area_label,first_aoi_fix_start,first_aoi_fix_x,first_aoi_fix_y,first_aoi_role,agent_first_look,audio,exp_id,image,image_id,sentence,stim_id,stimulus_file,voice_id,grammatical_voice,agent_first_alignment,agent_overt,passive_cost_contrast,dropped_agent_contrast
edf03,26,English,sentence_audio,passive,2,s_girl_girl_plant_tree,5958,943.9,377.2,agent,1,exp_images/audio\ENGLISH\p_sapling.wav,IMG_03_E_PWA,exp_images/images/girl_plant_tree.jpg,IMG_03,exp_images/sentences/passive_girl_sapling.jpg,STIM_75,stimuli_list_subj_3_a.csv,PWA,passive_with_agent,non_agent_first,agent_overt,1.0,0.0
edf03,27,English,sentence_audio,passive,2,o_shrub_man_cut_shrub,5626,658.9,475.7,object,0,exp_images/audio\ENGLISH\p_shrub.wav,IMG_04_E_PWA,exp_images/images/man_cut_shrub.jpg,IMG_04,exp_images/sentences/passive_man_shrub.jpg,STIM_76,stimuli_list_subj_3_a.csv,PWA,passive_with_agent,non_agent_first,agent_overt,1.0,0.0
edf03,28,English,sentence_audio,passive_dropped_agent,2,s_dog_dog_dug_hole,5840,868.3,523.7,agent,1,exp_images/audio\ENGLISH\p_woa_dug.wav,IMG_13_E_PNA,exp_images/images/dog_dug_hole.jpg,IMG_13,exp_images/sentences/noagent_dog_hole.jpg,STIM_103,stimuli_list_subj_3_a.csv,PNA,passive_dropped_agent,non_agent_first,agent_dropped,1.0,1.0
edf03,30,English,sentence_audio,passive_dropped_agent,2,o_tabla_child_play_tabla,6324,838.8,521.2,object,0,exp_images/audio\ENGLISH\p_woa_tabla.wav,IMG_11_E_PNA,exp_images/images/child_play_tabla.jpg,IMG_11,exp_images/sentences/noagent_child_tabla.jpg,STIM_101,stimuli_list_subj_3_a.csv,PNA,passive_dropped_agent,non_agent_first,agent_dropped,1.0,1.0
edf03,31,Punjabi,sentence_audio,active,2,o_picture_artiste_drew_picture,6472,997.8,401.2,object,0,exp_images/audio\PUNJABI\picture.wav,IMG_07_P_ACT,exp_images/images/artiste_drew_picture.jpg,IMG_07,exp_images/sentences/Painting.jpg,STIM_07,stimuli_list_subj_3_a.csv,ACT,active,agent_first,agent_overt,0.0,
edf03,32,Punjabi,sentence_audio,active,2,o_cake_girl_baked_cake,5936,935.6,550.5,object,0,exp_images/audio\PUNJABI\cake.wav,IMG_15_P_ACT,exp_images/images/girl_baked_cake.jpg,IMG_15,exp_images/sentences/Cake.jpg,STIM_15,stimuli_list_subj_3_a.csv,ACT,active,agent_first,agent_overt,0.0,
edf03,33,Punjabi,sentence_audio,active,2,s_girl_girl_opened_window,5816,812.2,421.6,agent,1,exp_images/audio\PUNJABI\window.wav,IMG_02_P_ACT,exp_images/images/girl_opened_window.jpg,IMG_02,exp_images/sentences/Window.jpg,STIM_02,stimuli_list_subj_3_a.csv,ACT,active,agent_first,agent_overt,0.0,
edf03,34,Punjabi,sentence_audio,passive,2,o_dog_girl_fed_dog,6028,944.7,596.9,object,0,exp_images/audio\PUNJABI\p_fed.wav,IMG_16_P_PWA,exp_images/images/girl_fed_dog.jpg,IMG_16,exp_images/sentences/Fed-dog-passive.jpg,STIM_34,stimuli_list_subj_3_a.csv,PWA,passive_with_agent,non_agent_first,agent_overt,1.0,0.0
edf03,35,Punjabi,sentence_audio,passive,2,o_veg_boy_cut_vegetables,6052,926.1,677.5,object,0,exp_images/audio\PUNJABI\p_veg.wav,IMG_18_P_PWA,exp_images/images/boy_cut_vegetables.jpg,IMG_18,exp_images/sentences/Veg-passive.jpg,STIM_36,stimuli_list_subj_3_a.csv,PWA,passive_with_agent,non_agent_first,agent_overt,1.0,0.0
edf03,36,Punjabi,sentence_audio,passive,2,o_vase_boy_broke_vase,5526,880.4,445.2,object,0,exp_images/audio\PUNJABI\p_vase.wav,IMG_08_P_PWA,exp_images/images/boy_broke_vase.jpg,IMG_08,exp_images/sentences/Vase-passive.jpg,STIM_26,stimuli_list_subj_3_a.csv,PWA,passive_with_agent,non_agent_first,agent_overt,1.0,0.0
