participant_id,image_id,baseline_fixation_trial_length_ms,baseline_fixation_total_fixation_duration,baseline_fixation_mean_fixation_duration,baseline_fixation_fixation_count,baseline_fixation_mean_fixation_x,baseline_fixation_mean_fixation_y,baseline_interest_area_trial_length_ms,baseline_interest_area_total_interest_area_dwell_time,baseline_interest_area_total_interest_area_entry_count,baseline_interest_area_min_time_to_first_fixation,baseline_interest_area_interest_area_dwell_time_normalized,baseline_saccade_trial_length_ms,baseline_saccade_mean_saccade_amplitude,baseline_saccade_saccade_count,baseline_saccade_mean_saccade_velocity,baseline_saccade_mean_saccade_duration,baseline_saccade_saccade_rate
edf05,IMG_11,5775.0,4333.0,361.08333333333326,12.0,908.1833333333334,488.51666666666665,4607.0,3443,5,1090.0,0.7473410028217929,5775.0,3.26,12.0,92.70583333333332,32.166666666666664,2.0779220779220777
edf05,IMG_12,6119.0,4318.0,431.8,10.0,1095.42,375.4,4652.0,4318,1,1502.0,0.9282029234737748,6119.0,1.1810000000000005,10.0,80.74600000000002,33.6,1.6342539630658606
edf05,IMG_13,5808.0,4170.0,320.76923076923083,13.0,1035.0538461538465,670.1076923076922,4371.0,4371,4,815.0,1.0,5808.0,2.51,13.0,129.62846153846152,47.846153846153854,2.238292011019284
edf05,IMG_14,6066.0,4268.0,284.53333333333336,15.0,960.3533333333332,320.5133333333334,4547.0,4103,4,1073.0,0.90235319991203,6066.0,2.523333333333333,15.0,80.1506666666667,29.73333333333333,2.4727992087042527
edf05,IMG_15,6061.0,4537.0,648.1428571428571,7.0,939.4714285714286,425.45714285714286,4795.0,4795,4,1068.0,1.0,6061.0,2.325714285714286,7.0,73.45857142857143,28.285714285714285,1.154924929879558
edf05,IMG_16,5942.0,4172.0,347.66666666666674,12.0,928.1750000000003,622.7583333333333,4343.0,3875,6,949.0,0.8922403868293806,5942.0,2.7133333333333334,12.0,134.94833333333332,54.16666666666666,2.0195220464490067
edf05,IMG_17,5979.0,4309.0,331.46153846153845,13.0,1049.2999999999997,503.5153846153847,4528.0,3908,5,987.0,0.8630742049469965,5979.0,2.6130769230769233,13.0,98.22846153846154,35.692307692307686,2.174276634888777
edf05,IMG_18,6082.0,4374.0,437.4,10.0,1026.39,618.5799999999998,4594.0,4594,3,1090.0,1.0,6082.0,3.0410000000000004,10.0,118.02600000000001,39.8,1.6441959881617891
edf06,IMG_01,5656.0,4052.0,202.6,20.0,944.735,504.565,4381.0,4381,5,663.0,1.0,5656.0,2.8819999999999997,20.0,81.45100000000002,30.6,3.5360678925035365
edf06,IMG_02,5725.0,3993.0,285.2142857142857,14.0,1031.1142857142856,496.21428571428567,4275.0,3993,7,1050.0,0.9340350877192982,5725.0,3.636428571428571,14.0,143.84,51.28571428571429,2.4454148471615724
edf06,IMG_03,5968.0,4222.0,263.875,16.0,1008.9874999999997,560.5562500000002,4451.0,3091,4,975.0,0.6944506852392721,5968.0,2.9549999999999987,16.0,82.05,33.875,2.680965147453083
edf06,IMG_04,6025.0,4140.0,217.8947368421053,19.0,889.5526315789473,439.88947368421066,4307.0,4307,7,1033.0,1.0,6025.0,3.125,20.0,83.287,35.2,3.3195020746887964
edf06,IMG_05,5729.0,3951.0,246.9375,16.0,946.325,463.225,4215.0,3350,7,736.0,0.7947805456702254,5729.0,3.675625,16.0,107.498125,48.625,2.7928085180659803
edf06,IMG_06,5722.0,4370.0,336.15384615384613,13.0,965.3923076923076,485.5538461538462,4590.0,4590,4,730.0,1.0,5722.0,2.1938461538461542,13.0,65.0023076923077,30.923076923076927,2.2719328905976934
edf06,IMG_07,5861.0,4136.0,258.5,16.0,982.45,553.7937499999998,4301.0,4301,5,869.0,1.0,5861.0,4.471176470588237,17.0,96.77529411764708,41.76470588235294,2.9005289199795263
edf06,IMG_08,5905.0,4031.0,251.9375,16.0,838.6937500000001,503.9375,4503.0,3929,5,912.0,0.8725294248278925,5905.0,2.588125,16.0,76.858125,30.625,2.7095681625740897
edf06,IMG_09,6129.0,4417.0,294.46666666666664,15.0,964.9866666666665,484.13333333333327,4549.0,4549,9,1136.0,1.0,6129.0,2.3673333333333333,15.0,77.13799999999998,29.6,2.447381302006853
